S01,-51.830,55.753,37.164
S02,-0.235,62.434,65.513
S03,-77.435,19.001,18.879
S04,-35.971,27.644,77.821
S05,-70.634,-11.463,63.077
S06,-82.542,-47.309,27.800
S07,-39.429,-48.345,92.764
S08,-57.976,-81.286,56.214
S09,-0.461,-8.416,101.365
S10,51.167,56.349,37.498
S11,35.174,28.261,77.967
S12,76.997,20.379,19.465
S13,69.701,-9.782,63.617
S14,38.780,-47.709,93.218
S15,82.818,-45.959,28.546
S16,58.143,-80.514,56.992
D01,-64.987,49.590,10.244
D02,-29.480,60.438,57.351
D03,-63.100,23.879,52.682
D04,-0.371,29.335,87.712
D05,-84.098,-13.846,24.756
D06,-39.835,-9.543,89.911
D07,-69.286,-48.011,65.668
D08,-32.687,-83.015,77.385
D09,28.847,60.759,57.469
D10,64.380,50.370,10.803
D11,62.315,24.986,53.080
D12,38.717,-8.599,90.282
D13,83.687,-11.831,25.487
D14,-0.485,-48.239,102.848
D15,69.044,-46.885,66.427
D16,32.417,-82.593,77.940
O01,-29.230,85.182,-14.189
O02,-70.550,42.879,-19.263
O03,-35.609,78.819,16.092
O04,-12.859,74.475,48.143
O05,-66.426,37.778,30.883
O06,-17.372,46.329,75.763
O07,-82.630,0.747,2.398
O08,-54.139,8.021,73.087
O09,-81.397,-30.295,47.238
O10,-21.073,-28.580,100.950
O11,-78.902,-62.370,8.661
O12,-52.376,-66.331,76.844
O13,-56.629,-93.250,35.816
O14,-30.194,-115.984,6.847
O15,-27.284,-96.129,63.615
O16,-0.396,-83.419,84.441
O17,14.920,88.629,-11.014
O18,70.103,43.768,-18.472
O19,35.272,78.970,16.408
O20,12.485,74.553,48.159
O21,65.664,38.792,31.348
O22,16.566,46.584,75.853
O23,82.301,2.488,3.251
O24,53.244,9.134,73.435
O25,81.135,-28.609,48.046
O26,20.130,-28.152,101.202
O27,79.331,-61.203,9.383
O28,52.049,-65.578,77.602
O29,56.991,-92.653,36.518
O30,30.554,-115.817,7.052
O31,26.938,-95.869,64.167
O32,-0.226,-106.720,52.115
